state_clean,age_0_5,age_5_17,age_18_greater,total_enrollments
Andaman and Nicobar Islands,469,32,0,501
Andhra Pradesh,109394,13414,1465,124273
Arunachal Pradesh,1914,2176,150,4240
Assam,137970,64834,22555,225359
Bihar,254911,327043,11799,593753
Chandigarh,2377,210,33,2620
Chhattisgarh,79653,18158,1962,99773
Dadra and Nagar Haveli and Daman and Diu,1484,248,50,1782
Delhi,67844,21971,3023,92838
Goa,1871,253,156,2280
Gujarat,188709,70270,16063,275042
Haryana,85112,8897,1076,95085
Himachal Pradesh,16081,650,178,16909
Jammu and Kashmir,39314,7802,522,47638
Jharkhand,96048,56152,1412,153612
Karnataka,176178,33402,10038,219618
Kerala,52950,18360,2640,73950
Ladakh,466,133,18,617
Lakshadweep,188,10,1,199
Madhya Pradesh,363244,115172,9476,487892
Maharashtra,274274,81069,8103,363446
Manipur,5044,7895,260,13199
Meghalaya,21072,53089,35078,109239
Mizoram,4044,1259,471,5774
Nagaland,4453,9856,1120,15429
Odisha,97500,22228,726,120454
Puducherry,2746,193,44,2983
Punjab,60481,12175,3117,75773
Rajasthan,224977,110131,5483,340591
Sikkim,1040,1030,105,2175
Tamil Nadu,178294,36214,1202,215710
Telangana,103768,24035,1145,128948
Tripura,7165,3597,246,11008
Uttar Pradesh,511727,473205,17699,1002631
Uttarakhand,31208,5410,338,36956
West Bengal,270419,90335,8495,369249
